Date,Output
17-06-2020,33200
18-06-2020,33350
19-06-2020,33400
20-06-2020,33450
22-06-2020,33350
23-06-2020,33300
24-06-2020,33200
25-06-2020,33050
26-06-2020,33050
27-06-2020,32950
29-06-2020,32850
30-06-2020,32800
01-07-2020,32900
02-07-2020,32950
03-07-2020,33000
04-07-2020,33000
06-07-2020,33000
07-07-2020,32950
08-07-2020,32850
09-07-2020,33000
10-07-2020,33100
11-07-2020,33100
13-07-2020,33150
14-07-2020,33000
15-07-2020,32950
16-07-2020,33050
17-07-2020,33100
18-07-2020,33100
20-07-2020,33100
21-07-2020,33200
22-07-2020,33100
23-07-2020,33100
24-07-2020,33200
25-07-2020,33100
27-07-2020,33100
28-07-2020,33200
29-07-2020,33200
30-07-2020,33150
31-07-2020,33200
01-08-2020,33200
03-08-2020,33200
04-08-2020,33300
05-08-2020,33300
06-08-2020,33350
07-08-2020,33500
08-08-2020,33450
10-08-2020,33450
11-08-2020,33550
12-08-2020,33550
13-08-2020,33600
14-08-2020,33750
15-08-2020,33900
17-08-2020,34250
18-08-2020,34700
19-08-2020,34850
20-08-2020,35000
21-08-2020,35300
22-08-2020,35500
24-08-2020,35650
25-08-2020,36000
26-08-2020,36100
27-08-2020,36000
28-08-2020,36000
29-08-2020,35900
31-08-2020,35850
01-09-2020,35800
02-09-2020,35800
03-09-2020,35750
04-09-2020,35700
05-09-2020,35700
07-09-2020,35700
08-09-2020,35650
09-09-2020,35600
10-09-2020,35700
11-09-2020,35600
12-09-2020,35750
14-09-2020,35850
15-09-2020,36000
16-09-2020,36000
17-09-2020,36100
18-09-2020,36050
19-09-2020,36100
21-09-2020,36150
22-09-2020,36200
23-09-2020,36150
24-09-2020,36200
25-09-2020,36250
26-09-2020,36250
28-09-2020,36200
29-09-2020,36300
30-09-2020,36200
01-10-2020,36700
02-10-2020,36750
03-10-2020,36800
05-10-2020,36750
06-10-2020,36800
07-10-2020,36750
08-10-2020,36950
09-10-2020,37100
10-10-2020,37200
12-10-2020,37800
13-10-2020,38100
14-10-2020,38600
15-10-2020,38850
16-10-2020,39000
17-10-2020,39250
19-10-2020,40100
20-10-2020,40550
21-10-2020,40400
22-10-2020,40400
23-10-2020,40300
24-10-2020,40200
26-10-2020,40050
27-10-2020,40000
28-10-2020,40100
29-10-2020,39950
30-10-2020,39900
31-10-2020,39700
02-11-2020,39700
03-11-2020,39800
04-11-2020,39850
05-11-2020,39900
06-11-2020,39950
07-11-2020,39850
09-11-2020,40100
10-11-2020,40300
11-11-2020,40500
12-11-2020,40550
13-11-2020,40500
14-11-2020,40550
16-11-2020,40600
19-11-2020,41050
20-11-2020,41350
21-11-2020,41900
23-11-2020,42250
24-11-2020,42100
25-11-2020,41950
26-11-2020,41650
27-11-2020,41150
28-11-2020,41250
30-11-2020,41150
01-12-2020,40950
02-12-2020,40800
03-12-2020,40500
04-12-2020,40650
05-12-2020,40750
07-12-2020,40750
08-12-2020,40850
09-12-2020,40900
10-12-2020,41000
11-12-2020,41350
12-12-2020,41300
14-12-2020,41600
15-12-2020,41700
16-12-2020,42000
17-12-2020,42000
18-12-2020,42400
19-12-2020,42450
21-12-2020,42050
22-12-2020,41850
23-12-2020,41850
24-12-2020,42150
25-12-2020,42200
26-12-2020,42100
28-12-2020,41900
29-12-2020,42000
30-12-2020,42050
31-12-2020,42350
01-01-2021,42400
02-01-2021,42400
04-01-2021,42850
05-01-2021,43000
06-01-2021,43400
07-01-2021,43500
08-01-2021,43550
09-01-2021,43450
11-01-2021,43350
12-01-2021,43450
13-01-2021,43800
15-01-2021,43650
16-01-2021,43450
18-01-2021,43500
19-01-2021,43550
20-01-2021,43500
21-01-2021,43800
22-01-2021,43850
23-01-2021,43650
25-01-2021,43650
26-01-2021,43500
27-01-2021,43550
28-01-2021,43350
29-01-2021,43150
30-01-2021,43100
01-02-2021,43400
02-02-2021,43350
03-02-2021,43500
04-02-2021,43550
05-02-2021,44050
06-02-2021,43950
08-02-2021,44000
09-02-2021,44200
10-02-2021,44400
11-02-2021,44250
12-02-2021,44400
13-02-2021,44350
15-02-2021,44450
16-02-2021,44600
17-02-2021,44800
18-02-2021,44850
18-02-2021,44850
19-02-2021,44900
20-02-2021,44950
22-02-2021,45300
23-02-2021,45400
24-02-2021,45500
25-02-2021,46000
26-02-2021,45600
27-02-2021,45550
01-03-2021,45900
02-03-2021,46000
03-03-2021,46100
04-03-2021,45900
05-03-2021,45750
06-03-2021,45700
08-03-2021,45850
09-03-2021,45900
10-03-2021,45700
11-03-2021,45900
12-03-2021,45900
13-03-2021,45850
15-03-2021,46000
16-03-2021,46050
17-03-2021,46100
18-03-2021,46050
19-03-2021,45900
20-03-2021,45850
22-03-2021,45400
23-03-2021,45300
24-03-2021,44900
25-03-2021,44750
26-03-2021,44400
27-03-2021,44600
30-03-2021,44800
31-03-2021,45100
01-04-2021,45150
02-04-2021,45100
03-04-2021,45100
05-04-2021,45350
